0.0062999986       ,223 ,0.0096999984        ,257
0.0140999984       ,301 ,0.0171999987        ,332
0.0216999985       ,377 ,0.0243999977        ,404
0.0292999987       ,453 ,0.032099999500000004,481
0.0372999981       ,533 ,0.0391999967        ,552
0.0445999987       ,606 ,0.0470999964        ,631
0.0523999967       ,684 ,0.054299999         ,703
0.0602999963       ,763 ,0.0616999976        ,777
0.0678999946       ,839 ,0.0692999959        ,853
0.0755999982       ,916 ,0.0768999979        ,929
0.0829999968       ,990 ,0.0846999958        ,1007
0.0906999931       ,1067,0.0920000002        ,1080
0.0982999951       ,1143,0.0995999947        ,1156
0.1056999937       ,1217,0.1074999943        ,1235
0.1135999933       ,1296,0.1147999987        ,1308
0.1210999936       ,1371,0.1223999932        ,1384
0.12860000130000002,1446,0.1301999986        ,1462
0.1362999976       ,1523,0.13759998980000002 ,1536
0.1438999921       ,1599,0.1451999992        ,1612
0.1515999883       ,1676,0.1526999921        ,1687
